ticker,name,asset_class,sub_class,leverage,description
SGOV,iShares 0-3 Month Treasury Bond ETF,bond,treasury_short,1,"Holds US Treasury bills maturing within 3 months. Price barely moves; total return roughly tracks short-term interest rates. Works as a cash substitute."
VGIT,Vanguard Intermediate-Term Treasury ETF,bond,treasury_intermediate,1,"Holds US Treasury notes with 3-10 years to maturity. Moderate rate sensitivity: gains when rates fall, loses when they rise."
TLT,iShares 20+ Year Treasury Bond ETF,bond,treasury_long,1,"Holds US Treasury bonds with 20+ years to maturity. The most rate-sensitive mainstream Treasury ETF — big moves in both directions when rates change."
BND,Vanguard Total Bond Market ETF,bond,aggregate,1,"Holds ~10,000 US investment-grade bonds (Treasuries, corporates, mortgage-backed). One-ticket exposure to the whole US bond market."
LQD,iShares iBoxx USD Investment Grade Corporate Bond ETF,bond,corporate_ig,1,"Holds investment-grade corporate bonds. Yields more than Treasuries in exchange for credit risk; sells off when credit conditions worsen."
HYG,iShares iBoxx USD High Yield Corporate Bond ETF,bond,corporate_hy,1,"Holds below-investment-grade (junk) corporate bonds. Higher yield, but tends to fall alongside stocks in market stress."
TIP,iShares TIPS Bond ETF,bond,tips,1,"Holds US Treasuries whose principal is indexed to CPI inflation. Hedges inflation surprises; still carries interest-rate risk."
SPY,SPDR S&P 500 ETF Trust,equity,us_large_cap,1,"Holds the ~500 largest US companies (S&P 500). The default building block for US stock market exposure."
QQQ,Invesco QQQ Trust,equity,nasdaq_100,1,"Holds the 100 largest non-financial Nasdaq companies. Tech/growth heavy — historically higher return and volatility than SPY."
QLD,ProShares Ultra QQQ,leveraged_equity,nasdaq_100_2x,2,"Delivers 2x the DAILY return of the Nasdaq-100 via derivatives. Long-run result is path-dependent (volatility drag), not simply 2x."
TQQQ,ProShares UltraPro QQQ,leveraged_equity,nasdaq_100_3x,3,"Delivers 3x the DAILY return of the Nasdaq-100. Extreme drawdowns (over -75% in 2022); long-run return is path-dependent, not 3x."
VEA,Vanguard FTSE Developed Markets ETF,equity,intl_developed,1,"Holds thousands of developed-market stocks outside the US (Europe, Japan, etc.). Diversifies away from US-only exposure."
SCHD,Schwab US Dividend Equity ETF,equity,us_dividend,1,"Holds ~100 US companies with 10+ consecutive years of dividends and strong balance sheets. Total return = price + dividends; tilts toward value sectors."
VWO,Vanguard FTSE Emerging Markets ETF,equity,emerging_markets,1,"Holds thousands of emerging-market stocks (China, India, Taiwan, Brazil). Higher growth potential with currency and political risk; tends to struggle when the US dollar is strong."
IWM,iShares Russell 2000 ETF,equity,us_small_cap,1,"Holds ~2,000 US small-cap companies. More domestically focused and economically sensitive than large caps — swings harder in both directions."
VNQ,Vanguard Real Estate ETF,real_estate,us_reit,1,"Holds US real estate investment trusts (REITs) — companies owning offices, apartments, warehouses. Sensitive to interest rates and property cycles."
GLD,SPDR Gold Shares,commodity,gold,1,"Each share is backed by physical gold in vaults; tracks the gold price. No yield — often held as a crisis or inflation hedge."
